item_id,year,question_number,item_type,item_description,reporting_catgory,standard,screenshot_path,html_path,html_path
MA801035466,2023,4,CR,"Write a fraction comparison using symbols, compare fractions with different denominators, and critique the reasoning of others about different-sized wholes in a word problem.",Number and Operations-Fractions,4.NF.A.2,/Users/npresnall/sturbridge/scripts/items/MA801035466/MA801035466.png,,/Users/npresnall/sturbridge/scripts/items/MA801035466/MA801035466.html
MA002128911,2023,5,SA,Identify the number of acute angles in a given figure.,Geometry,4.G.A.1,/Users/npresnall/sturbridge/scripts/items/MA002128911/MA002128911.png,,/Users/npresnall/sturbridge/scripts/items/MA002128911/MA002128911.html
MA002334462,2023,6,SA,"Convert a given fraction, with a denominator of 100, to a decimal and plot the point that represents the location of the decimal on a zoom number line.",Number and Operations-Fractions,4.NF.C.6,/Users/npresnall/sturbridge/scripts/items/MA002334462/MA002334462.png,,/Users/npresnall/sturbridge/scripts/items/MA002334462/MA002334462.html
MA307060,2023,7,SR,Determine which given shape is a quadrilateral with perpendicular sides.,Geometry,4.G.A.2,/Users/npresnall/sturbridge/scripts/items/MA307060/MA307060.png,,/Users/npresnall/sturbridge/scripts/items/MA307060/MA307060.html
MA002139080,2023,8,SR,Solve a word problem with addition of whole numbers and fractions by using data from a dot plot.,Measurement and Data,4.MD.B.4,/Users/npresnall/sturbridge/scripts/items/MA002139080/MA002139080.png,,/Users/npresnall/sturbridge/scripts/items/MA002139080/MA002139080.html
MA002034926,2023,9,SR,Determine the difference of a six-digit number and a four-digit number.,Number and Operations in Base Ten,4.NBT.B.4,/Users/npresnall/sturbridge/scripts/items/MA002034926/MA002034926.png,,/Users/npresnall/sturbridge/scripts/items/MA002034926/MA002034926.html
MA903776098,2023,10,SR,Determine the measure of an angle that turns through a given fraction of a circle.,Measurement and Data,4.MD.C.5,/Users/npresnall/sturbridge/scripts/items/MA903776098/MA903776098.png,,/Users/npresnall/sturbridge/scripts/items/MA903776098/MA903776098.html
MA002145158,2023,11,SR,Create comparison statements of two decimals to hundredths and tenths using the symbols > or <.,Number and Operations-Fractions,4.NF.C.7,/Users/npresnall/sturbridge/scripts/items/MA002145158/MA002145158.png,,/Users/npresnall/sturbridge/scripts/items/MA002145158/MA002145158.html
MA002140372,2023,12,SR,Determine the angle measure of a larger angle given the measures of the individual angles that make up the larger angle.,Measurement and Data,4.MD.C.7,/Users/npresnall/sturbridge/scripts/items/MA002140372/MA002140372.png,,/Users/npresnall/sturbridge/scripts/items/MA002140372/MA002140372.html
MA307317,2023,13,CR,"Solve word problems by multiplying whole numbers: two digits by one digit, two digits by two digits, and four digits by one digit.",Number and Operations in Base Ten,4.NBT.B.5,/Users/npresnall/sturbridge/scripts/items/MA307317/MA307317.png,,/Users/npresnall/sturbridge/scripts/items/MA307317/MA307317.html
MA002135528,2023,14,SR,Convert kilograms to grams.,Measurement and Data,4.MD.A.1,/Users/npresnall/sturbridge/scripts/items/MA002135528/MA002135528.png,,/Users/npresnall/sturbridge/scripts/items/MA002135528/MA002135528.html
MA903571693,2023,15,SR,Select the equation that shows how to find the perimeter of a rectangle given the length and width.,Measurement and Data,4.MD.A.3,/Users/npresnall/sturbridge/scripts/items/MA903571693/MA903571693.png,,/Users/npresnall/sturbridge/scripts/items/MA903571693/MA903571693.html
MA001851276,2023,16,SR,"Round a multi-digit whole number to the nearest hundred, thousand, and ten thousand.",Number and Operations in Base Ten,4.NBT.A.3,/Users/npresnall/sturbridge/scripts/items/MA001851276/MA001851276.png,,/Users/npresnall/sturbridge/scripts/items/MA001851276/MA001851276.html
MA001750121,2023,17,SR,Solve a word problem by identifying a multiple of a given whole number.,Operations and Algebraic Thinking,4.OA.B.4,/Users/npresnall/sturbridge/scripts/items/MA001750121/MA001750121.png,,/Users/npresnall/sturbridge/scripts/items/MA001750121/MA001750121.html
MA704653374,2023,18,SA,Write a multiplication equation to represent a given word comparison and a word comparison to represent a given multiplication equation.,Operations and Algebraic Thinking,4.OA.A.1,/Users/npresnall/sturbridge/scripts/items/MA704653374/MA704653374.png,,/Users/npresnall/sturbridge/scripts/items/MA704653374/MA704653374.html
MA900846441,2023,19,SA,Create a model to represent the answer to a real-world problem involving addition and subtraction of fractions with like denominators.,Number and Operations-Fractions,4.NF.B.3,/Users/npresnall/sturbridge/scripts/items/MA900846441/MA900846441.png,,/Users/npresnall/sturbridge/scripts/items/MA900846441/MA900846441.html
MA303324,2023,20,SR,Solve a word problem by multiplying a fraction by a whole number.,Number and Operations-Fractions,4.NF.B.4,/Users/npresnall/sturbridge/scripts/items/MA303324/MA303324.png,,/Users/npresnall/sturbridge/scripts/items/MA303324/MA303324.html
